RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	UTM	JOG	FC	DSG	PC	CC1	ADM1	ADM2	DIM	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-570033	-805113	59.4833333	-124.0166667	592900	-1240100	DL49	NO10-01	P	PPL		CA	02				N				NELSONFORKS	Nelson Forks	Nelson Forks	1993-12-14
1	-570034	-805114	71.0833333	-122.7833333	710500	-1224700	ED08	NR09-03	T	CAPE 		CA	13				N				NELSONHEAD	Nelson Head	Nelson Head	1993-12-14
1	-570035	-805115	55.8	 -98.85	554800	-985100	NG08	NN14-02	P	PPL		CA	03				N				NELSONHOUSE	Nelson House	Nelson House	1993-12-14
1	-570036	-805116	53.5666667	-105.9833333	533400	-1055900	DV33	NN13-08	H	LK		CA	11				N				NELSONLAKE	Nelson Lake	Nelson Lake	1993-12-14
1	-570037	-805117	55.8	-100.1166667	554800	-1000700	MG28	NN14-01	H	LK		CA	03				N				NELSONLAKE	Nelson Lake	Nelson Lake	1993-12-14
1	-570038	-805118	55.9833333	-104.6	555900	-1043600	EC20	NN13-02	H	LK		CA	11				N				NELSONLAKE	Nelson Lake	Nelson Lake	1993-12-14
1	-570039	-805119	57.1166667	-104.6166667	570700	-1043700	ED23	NO13-08	H	LK		CA	11				N				NELSONLAKE	Nelson Lake	Nelson Lake	1993-12-14
1	-570040	-805120	49.25	-117.0833333	491500	-1170500	MQ95	NM11-08	T	MTS		CA	02				N				NELSONRANGE	Nelson Range	Nelson Range	1993-12-14
1	-570042	-805123	71.2	-122.4666667	711200	-1222800	ED19	NR09-03	H	STM		CA	13				N		Nelson		NELSONRIVER	Nelson River	Nelson River	1993-12-14
1	-570041	-805121	57.0666667	 -92.5	570400	-923000	WD32	NO15-08	H	STM		CA	03				N	EN	Nelson		NELSONRIVER	Nelson River	Nelson River	1998-03-24
1	-570043	-805124	57.5833333	 -92.2833333	573500	-921700	WD48	NO15-08	H	SHOL 		CA	03				N				NELSONSHOAL	Nelson Shoal	Nelson Shoal	1993-12-14
1	-570044	-805125	47.7166667	 -83.2	474300	-831200	LN38	NL17-01	P	PPL		CA	08				N				NEMEGOS	Nemegos	Nemegos	1993-12-14
1	-570045	-805126	48.0	 -83.1166667	480000	-830700	LP41	NM17-10	H	LK		CA	08				N				NEMEGOSENDALAKE	Nemegosenda Lake	Nemegosenda Lake	1993-12-14
1	-570046	-805127	48.7666667	 -82.85	484600	-825100	LQ60	NM17-10	H	STM		CA	08				N		Nemegosenda		NEMEGOSENDARIVER	Nemegosenda River	Nemegosenda River	1993-12-14
1	-570047	-805128	55.3333333	-105.3333333	552000	-1052000	DB73	NN13-02	H	LK		CA	11				N				NEMEIBENLAKE	Nemeiben Lake	Nemeiben Lake	1993-12-14
1	-570048	-805129	53.55	 -89.9	533300	-895400	CE03	NN16-07	H	LK		CA	08				N				NEMEIGUSABINSLAKE	Nemeigusabins Lake	Nemeigusabins Lake	1993-12-14
1	-570049	-805130	55.3	-102.3333333	551800	-1022000	FB63	NN13-03	H	LK		CA	11				N				NEMEILAKE	Nemei Lake	Nemei Lake	1993-12-14
1	-570050	-805131	51.3166667	 -76.9	511900	-765400	UB68	NM18-01	P	PPL		CA	10				N				NEMISCAU	Némiscau	Nemiscau	1993-12-14
1	-570052	-805132	51.3666667	 -76.8333333	512200	-765000	UB79	NM18-01	H	LK		CA	10				V				NEMISCAU LAC	Lac Nemiscau	Lac Nemiscau	1993-12-14
1	-570051	-805133	51.5333333	 -76.4166667	513200	-762500	VC01	NM18-01	H	STM		CA	10				N				NEMISCAU RIVIERE	Rivière Némiscau	Riviere Nemiscau	1993-12-14
1	-570052	-805134	51.3666667	 -76.8333333	512200	-765000	UB79	NM18-01	H	LK		CA	10				N				NEMISCAULAKE	Nemiscau Lake	Nemiscau Lake	1993-12-14
1	-570052	-805135	51.3666667	 -76.8333333	512200	-765000	UB79	NM18-01	H	LK		CA	10				V				NEMISKAU	Nemiskau	Nemiskau	1993-12-14
1	-570053	-805136	51.8833333	 -74.2833333	515300	-741700	WC44	NM18-02	P	PPL		CA	10				N				NEOSKWESKAU	Neoskweskau	Neoskweskau	1993-12-14
1	-570189	-805137	48.9166667	 -88.0	485500	-880000	DV21	NM16-11	H	BAY		CA	08				V				NEPIGONBAY	Nepigon Bay	Nepigon Bay	1993-12-14
1	-570188	-805138	49.8333333	 -88.5	495000	-883000	CA92	NM16-07	H	LK		CA	08				V				NEPIGONLAKE	Nepigon Lake	Nepigon Lake	1998-03-24
1	-570191	-805139	49.0666667	 -88.2833333	490400	-881700	DV03	NM16-07	H	STM		CA	08				V				NEPIGONRIVER	Nepigon River	Nepigon River	1993-12-14
1	-567823	-805140	58.7666667	 -70.0833333	584600	-700500	DF31	NO19-04	H	STM		CA	10				V				NEPIHJEE	Nepihjee	Nepihjee	1993-12-14
1	-570054	-805141	47.75	 -65.5833333	474500	-653500	LT09	NL20-01	H	BAY		CA	04				N				NEPISIGUITBAY	Nepisiguit Bay	Nepisiguit Bay	1993-12-14
1	-570055	-805142	47.6166667	 -65.6333333	473700	-653800	LT07	NL20-01	H	STM		CA	04				N		Nepisiguit		NEPISIGUITRIVER	Nepisiguit River	Nepisiguit River	1993-12-14
1	-570056	-805143	49.3666667	-104.0666667	492200	-1040400	EQ66	NM13-08	P	PPL		CA	11				N				NEPTUNE	Neptune	Neptune	1993-12-14
1	-570057	-805144	64.55	 -65.3333333	643300	-652000	LS86	NQ19-15	H	BAY		CA	14				N				NEPTUNEBAY	Neptune Bay	Neptune Bay	1993-12-14
1	-570058	-805145	62.2333333	 -74.8166667	621400	-744900	WQ00	NP17-08	T	ISL		CA	00				N				NEPTUNEISLAND	Neptune Island	Neptune Island	1993-12-14
1	-570059	-805146	52.7333333	 -73.0333333	524400	-730200	XD34	NN18-12	H	LK		CA	10				N				NEPTUNELAKE	Neptune Lake	Neptune Lake	1993-12-14
1	-570060	-805147	78.6166667	 -74.6	783700	-743600	WN02	NT17-06	T	RKS		CA	00				N				NEPTUNEROCK	Neptune Rock	Neptune Rock	1993-12-14
1	-563163	-805148	48.35	 -92.1666667	482100	-921000	WP65	NM15-11	H	LK		CA	08				V				NEQUAKAUN	Ne-qua-kaun	Ne-qua-kaun	1993-12-14
1	-563163	-805149	48.35	 -92.1666667	482100	-921000	WP65	NM15-11	H	LK		CA	08				V				NEQUAQUON	Nequaquon	Nequaquon	1993-12-14
1	-563163	-805150	48.35	 -92.1666667	482100	-921000	WP65	NM15-11	H	LK		CA	08				V				NEQUAWKAUN	Nequawkaun	Nequawkaun	1993-12-14
1	-570019	-805151	69.4833333	 -81.5833333	692900	-813500	MT70	NR17-07	T	ISL		CA	14				V				NERDLERNARTOQ	Nerdlernartoq	Nerdlernartoq	1993-12-14
1	-570061	-805152	54.75	 -70.7	544500	-704200	CA96	NN19-04	H	LK		CA	10				N				NERET LAC	Lac Néret	Lac Neret	1993-12-14
1	-570062	-805153	56.2	 -78.9	561200	-785400	PC33	NO17-12	T	ISL		CA	00				N				NEROISLAND	Nero Island	Nero Island	1993-12-14
1	-570063	-805154	50.4333333	-127.5166667	502600	-1273100	XR08	NM09-06	H	INLT 		CA	02				N				NEROUTSOSINLET	Neroutsos Inlet	Neroutsos Inlet	1993-12-14
1	-570064	-805155	64.2833333	 -75.8	641700	-754800	VS62	NQ17-15	T	ISL		CA	00				N				NESFIELDISLAND	Nesfield Island	Nesfield Island	1993-12-14
1	-570065	-805156	50.8166667	 -59.65	504900	-593900	US13	NM21-04	H	LK		CA	10				N				NESLE LAC	Lac Nesle	Lac Nesle	1993-12-14
